iter	Accuracy	MultiClass
0	0.5087	1.913439666
1	0.5544	1.883959258
2	0.57	1.853527026
3	0.5779	1.828642112
4	0.5753	1.804023345
5	0.5914	1.78032097
6	0.5978	1.756660327
7	0.6001	1.734176657
8	0.5982	1.712737479
9	0.6059	1.694660869
10	0.6159	1.676401226
11	0.6189	1.656933205
12	0.6205	1.636622313
13	0.6267	1.62093042
14	0.6243	1.601999982
15	0.6263	1.584385895
16	0.6294	1.566652526
17	0.6303	1.550065305
18	0.6337	1.534710221
19	0.6363	1.51909717
20	0.6345	1.504474912
21	0.6405	1.489289868
22	0.6394	1.475244703
23	0.6421	1.46126804
24	0.644	1.448338415
25	0.6445	1.435181612
26	0.6454	1.423890772
27	0.6478	1.412579944
28	0.6498	1.401367196
29	0.6523	1.389613665
30	0.6544	1.378094767
31	0.6572	1.36671859
32	0.6606	1.357279253
33	0.6614	1.346539226
34	0.6623	1.336927552
35	0.6636	1.327211517
36	0.6669	1.316944345
37	0.6687	1.307755512
38	0.671	1.298368459
39	0.6732	1.289132579
40	0.6755	1.280570508
41	0.6772	1.27131689
42	0.6787	1.263062856
43	0.6795	1.254356636
44	0.681	1.245560617
45	0.6809	1.238256801
46	0.6826	1.229698508
47	0.684	1.221391218
48	0.6854	1.212897191
49	0.6861	1.204727277
50	0.6878	1.196307879
51	0.6897	1.1892141
52	0.6915	1.182331878
53	0.6935	1.175702224
54	0.6959	1.168446783
55	0.6961	1.161400013
56	0.6984	1.154115134
57	0.6988	1.146878856
58	0.6997	1.139927553
59	0.7012	1.133323443
60	0.7027	1.126565391
61	0.7055	1.120330778
62	0.7062	1.114301014
63	0.7089	1.108451361
64	0.7083	1.102925446
65	0.7096	1.097225331
66	0.7126	1.09139146
67	0.7146	1.085599525
68	0.7168	1.079818818
69	0.718	1.074074604
70	0.7196	1.068901711
71	0.7208	1.063964667
72	0.7235	1.058161136
73	0.7246	1.053315558
74	0.7262	1.048531348
75	0.7279	1.043003079
76	0.7287	1.037695062
77	0.7296	1.032385178
78	0.7303	1.027420867
79	0.7332	1.021657893
80	0.7343	1.016329163
81	0.7353	1.011582594
82	0.7369	1.006527214
83	0.7382	1.001899547
84	0.7398	0.9970394425
85	0.7414	0.9921104258
86	0.7425	0.98759207
87	0.7434	0.9830791027
88	0.7452	0.9786263445
89	0.7463	0.9744445
90	0.7475	0.9704905035
91	0.75	0.9665307387
92	0.7507	0.962314786
93	0.752	0.9576498033
94	0.7536	0.9535227458
95	0.7555	0.9493592231
96	0.756	0.9451748995
97	0.7568	0.9407011693
98	0.7582	0.9368269066
99	0.7608	0.9325451451
100	0.7614	0.9281048841
101	0.7641	0.9242891567
102	0.7655	0.9204957723
103	0.7673	0.9167622696
104	0.7686	0.9127527161
105	0.7702	0.9091418771
106	0.7703	0.9055181793
107	0.7718	0.9018912527
108	0.7734	0.8982821352
109	0.7748	0.8947395519
110	0.7755	0.8914483376
111	0.7769	0.887818677
112	0.7773	0.8847131753
113	0.7789	0.881588347
114	0.7799	0.8784089415
115	0.7825	0.8749836968
116	0.7831	0.8717018965
117	0.7828	0.8688199887
118	0.7843	0.865541702
119	0.7857	0.8620742784
120	0.788	0.8585509084
121	0.7892	0.8551437198
122	0.7903	0.8519781584
123	0.792	0.8488549667
124	0.7925	0.8455562801
125	0.7941	0.8422899014
126	0.7956	0.8394063348
127	0.795	0.8365581434
128	0.7957	0.83337539
129	0.7967	0.8303951105
130	0.7988	0.8275112222
131	0.7999	0.8240636908
132	0.8015	0.8209615626
133	0.8029	0.8182990268
134	0.804	0.8155240621
135	0.805	0.8125393541
136	0.8054	0.8094560388
137	0.8057	0.8063825051
138	0.8069	0.8036595591
139	0.8077	0.8009862982
140	0.8101	0.7981475925
141	0.8115	0.7956212717
142	0.812	0.792694786
143	0.8129	0.7897594585
144	0.8121	0.7871989305
145	0.8144	0.7845712847
146	0.8146	0.7818385143
147	0.8158	0.7791396243
148	0.8164	0.7765338214
149	0.8171	0.774275744
150	0.818	0.7717759444
151	0.8189	0.7690793453
152	0.8193	0.7668413599
153	0.8211	0.7640166129
154	0.8224	0.7615078571
155	0.823	0.7590244038
156	0.824	0.7566484665
157	0.8246	0.7540552144
158	0.826	0.7516116841
159	0.8273	0.7489251501
160	0.8268	0.7465523572
161	0.8285	0.7441273135
162	0.8304	0.7415576313
163	0.8316	0.7390492331
164	0.8341	0.7366088182
165	0.8347	0.734459558
166	0.8363	0.73180756
167	0.8363	0.7292183109
168	0.8373	0.7269963376
169	0.8384	0.724828592
170	0.8401	0.7224634394
171	0.8408	0.7202570838
172	0.8415	0.7180184426
173	0.8425	0.7157637547
174	0.8427	0.7136161519
175	0.843	0.7115057223
176	0.8436	0.7091090827
177	0.8443	0.7071896189
178	0.8455	0.7051924184
179	0.8471	0.7030317753
180	0.8478	0.7010185457
181	0.8486	0.6989985618
182	0.8486	0.6967341262
183	0.849	0.6947783081
184	0.8502	0.6926343091
185	0.851	0.6905619668
186	0.8523	0.6883053092
187	0.8528	0.6861361457
188	0.854	0.6840966943
189	0.8543	0.6817728598
190	0.8541	0.6799396312
191	0.8546	0.677870795
192	0.8549	0.676132193
193	0.8559	0.6740943427
194	0.8571	0.6719505924
195	0.858	0.6700046562
196	0.8587	0.6681143237
197	0.8592	0.6660615918
198	0.8594	0.6642203399
199	0.8598	0.6623921685
200	0.8607	0.6604785992
201	0.8622	0.6584000496
202	0.8623	0.6565557116
203	0.8631	0.6543571026
204	0.8638	0.6525613365
205	0.8641	0.650910061
206	0.8644	0.6491874314
207	0.8659	0.6471045187
208	0.8664	0.6455063239
209	0.8671	0.6435673043
210	0.8683	0.6417411884
211	0.8685	0.639736176
212	0.8685	0.6378160288
213	0.869	0.6359014837
214	0.8689	0.634302199
215	0.8692	0.6325842959
216	0.8694	0.6307635101
217	0.8699	0.6291153382
218	0.8708	0.6273040266
219	0.8706	0.6254814245
220	0.8712	0.6237690406
221	0.8719	0.6219961428
222	0.8726	0.62037533
223	0.8732	0.618718582
224	0.8735	0.6169634181
225	0.874	0.615292489
226	0.8744	0.6136664183
227	0.875	0.6120508204
228	0.8753	0.6104021308
229	0.875	0.6088368973
230	0.8755	0.607122512
231	0.8758	0.6057701669
232	0.8762	0.6039706213
233	0.8767	0.6022677829
234	0.877	0.6005422486
235	0.8775	0.598714908
236	0.8781	0.597162858
237	0.8784	0.5956774346
238	0.8791	0.594161424
239	0.8795	0.5925195937
240	0.8798	0.5910396627
241	0.8801	0.5894361103
242	0.8805	0.5878832446
243	0.8807	0.5865100374
244	0.8821	0.5850515095
245	0.8832	0.583402851
246	0.8838	0.5818585548
247	0.8841	0.5803397701
248	0.8847	0.5787778124
249	0.8856	0.5775103591
250	0.8862	0.5759297002
251	0.8866	0.5745379822
252	0.8874	0.5728267346
253	0.8873	0.5711798459
254	0.888	0.5697303269
255	0.8876	0.568255841
256	0.8884	0.5668144893
257	0.8892	0.5654822752
258	0.8902	0.5637678673
259	0.8901	0.5624578552
260	0.8905	0.5610285031
261	0.8917	0.5595658704
262	0.8918	0.5581431052
263	0.8923	0.5568377291
264	0.8927	0.5553352903
265	0.893	0.5539635815
266	0.8933	0.5526406551
267	0.8935	0.5509164696
268	0.8938	0.5495696465
269	0.8944	0.5481932946
270	0.8955	0.5466083685
271	0.8955	0.545305965
272	0.8959	0.5440934692
273	0.8959	0.5428647256
274	0.8957	0.5414914093
275	0.8964	0.5400474196
276	0.897	0.5387002051
277	0.8975	0.5374853317
278	0.8979	0.5361885508
279	0.8983	0.5348462362
280	0.8987	0.5335656755
281	0.8992	0.5322803195
282	0.8995	0.5310869632
283	0.8996	0.5298727233
284	0.8997	0.5285659175
285	0.9009	0.5273370376
286	0.9007	0.526081256
287	0.9016	0.5247664161
288	0.9015	0.5235964692
289	0.9024	0.5224065499
290	0.9023	0.5211409407
291	0.9024	0.5198818319
292	0.9027	0.518722269
293	0.9027	0.5175494046
294	0.9034	0.5163782458
295	0.9037	0.5152153069
296	0.904	0.513834953
297	0.9048	0.5126674721
298	0.9043	0.5115245521
299	0.9054	0.5100981716
300	0.9052	0.5087696707
301	0.9053	0.5075673164
302	0.9058	0.5064372719
303	0.9062	0.5051304016
304	0.9068	0.5038620588
305	0.9075	0.5026130218
306	0.9077	0.5012658595
307	0.908	0.5000849595
308	0.908	0.4989574118
309	0.9081	0.4977262202
310	0.9082	0.4965238969
311	0.909	0.4953127444
312	0.909	0.4942026624
313	0.909	0.4930506479
314	0.91	0.4917377589
315	0.9102	0.49060017
316	0.9101	0.4892889071
317	0.91	0.4880260279
318	0.9113	0.4868792765
