iter	Passed	Remaining
0	142	171070
1	297	178222
2	477	190418
3	660	197535
4	851	203499
5	1035	206036
6	1220	208025
7	1406	209518
8	1591	210581
9	1773	211084
10	1956	211490
11	2140	211908
12	2320	211872
13	2505	212284
14	2688	212419
15	2877	212970
16	3068	213548
17	3260	214126
18	3443	214052
19	3626	213981
20	3809	213869
21	3993	213845
22	4178	213805
23	4362	213741
24	4544	213577
25	4728	213493
26	4908	213255
27	5089	213048
28	5273	212934
29	5458	212867
30	5638	212620
31	5823	212546
32	6005	212369
33	6183	212044
34	6364	211860
35	6561	212171
36	6761	212518
37	6958	212776
38	7161	213190
39	7370	213757
40	7588	214517
41	7783	214596
42	7974	214579
43	8163	214489
44	8410	215877
45	8612	216071
46	8817	216313
47	9023	216554
48	9243	217118
49	9460	217602
50	9663	217722
51	9866	217821
52	10070	217951
53	10273	218034
54	10469	217956
55	10656	217691
56	10844	217453
57	11028	217139
58	11207	216735
59	11389	216409
60	11572	216078
61	11761	215873
62	11952	215713
63	12140	215497
64	12323	215182
65	12520	215132
66	12732	215316
67	12929	215232
68	13118	215026
69	13324	215092
70	13559	215608
71	13757	215541
72	13967	215637
73	14177	215727
74	14363	215447
75	14553	215238
76	14767	215379
77	14966	215288
78	15176	215350
79	15389	215455
80	15585	215317
81	15789	215275
82	15996	215271
83	16218	215470
84	16442	215681
85	16629	215407
86	16830	215314
87	17022	215101
88	17244	215261
89	17473	215512
90	17702	215738
91	17902	215612
92	18109	215566
93	18301	215331
94	18505	215250
95	18728	215383
96	18938	215357
97	19132	215141
98	19319	214851
99	19499	214498
100	19685	214201
101	19875	213955
102	20088	213946
103	20313	214077
104	20548	214294
105	20784	214513
106	21003	214547
107	21205	214410
108	21421	214410
109	21645	214490
110	21854	214413
111	22062	214321
112	22273	214262
113	22481	214166
114	22699	214167
115	22929	214276
116	23141	214209
117	23339	214009
118	23530	213752
119	23721	213494
120	23907	213189
121	24090	212865
122	24280	212604
123	24470	212339
124	24655	212040
125	24842	211748
126	25035	211524
127	25228	211291
128	25413	210992
129	25594	210661
130	25774	210324
131	25953	209990
132	26135	209673
133	26321	209392
134	26503	209079
135	26683	208757
136	26865	208451
137	27050	208172
138	27232	207869
139	27413	207562
140	27594	207251
141	27773	206935
142	27955	206632
